index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
0 0.617188 16.125898 16.125898 15.510903 15.510903 7.466214 7.466214 13.595725 13.595725 
2 6.333675 60.521018 60.521018 61.808281 61.808281 38.206523 38.206523 48.585236 48.585236 
3 1.323043 10.566896 10.566896 10.997419 10.997419 5.033335 5.033335 9.777973 9.777973 
4 9.835915 85.231794 85.231794 87.265478 87.265478 46.531075 46.531075 73.824946 73.824946 
5 1.383470 27.714771 27.714771 28.757004 28.757004 18.699484 18.699484 21.847072 21.847072 
7 7.922367 76.925906 76.925906 76.194536 76.194536 55.251497 55.251497 52.467889 52.467889 
8 4.495689 43.552315 43.552315 42.956711 42.956711 34.589531 34.589531 25.472404 25.472404 
11 2.665842 35.830217 35.830217 35.739943 35.739943 25.035096 25.035096 25.506617 25.506617 
13 3.352497 20.623359 20.623359 19.015035 19.015035 15.722389 15.722389 10.694766 10.694766 
14 2.427044 29.214654 29.214654 27.338805 27.338805 19.104172 19.104172 19.556095 19.556095 
15 4.035800 48.103454 48.103454 47.817425 47.817425 35.398923 35.398923 32.146887 32.146887 
16 -0.067353 24.644283 24.644283 26.962706 26.962706 16.850476 16.850476 21.048728 21.048728 
17 4.503839 16.531407 16.531407 15.513301 15.513301 12.181461 12.181461 9.605963 9.605963 
18 3.481073 30.898887 30.898887 30.424253 30.424253 20.158072 20.158072 22.787876 22.787876 
19 2.875013 30.374519 30.374519 29.088054 29.088054 19.678756 19.678756 21.421052 21.421052 
20 0.016519 14.450394 14.450394 15.309829 15.309829 15.020177 15.020177 2.963973 2.963973 
21 6.633718 46.963664 46.963664 45.406553 45.406553 29.568532 29.568532 34.459497 34.459497 
23 1.377733 9.613729 9.613729 10.663547 10.663547 7.384152 7.384152 7.693213 7.693213 
24 2.388583 21.495223 21.495223 23.014123 23.014123 16.506519 16.506519 16.036979 16.036979 
25 5.025977 23.212821 23.212821 24.091765 24.091765 15.268634 15.268634 18.635502 18.635502 
27 3.195130 24.542215 24.542215 23.935756 23.935756 16.376928 16.376928 17.456135 17.456135 
28 6.352277 34.278458 34.278458 30.624888 30.624888 21.574741 21.574741 21.735095 21.735095 
29 0.363789 10.192116 10.192116 10.234110 10.234110 8.884806 8.884806 5.079098 5.079098 
30 5.469252 27.281773 27.281773 28.408992 28.408992 16.253863 16.253863 23.299845 23.299845 
31 2.945256 29.159591 29.159591 31.417895 31.417895 26.579763 26.579763 16.751130 16.751130 
32 1.059209 13.043335 13.043335 11.691663 11.691663 5.176316 5.176316 10.483355 10.483355 
33 2.304526 20.227253 20.227253 21.136417 21.136417 14.369838 14.369838 15.500190 15.500190 
34 0.964731 18.557302 18.557302 17.706676 17.706676 13.097812 13.097812 11.915273 11.915273 
35 4.649833 25.968931 25.968931 24.928847 24.928847 11.697048 11.697048 22.014234 22.014234 
36 2.271026 20.446705 20.446705 18.464775 18.464775 10.569161 10.569161 15.140699 15.140699 
37 1.563881 13.124172 13.124172 11.260729 11.260729 7.521193 7.521193 8.380673 8.380673 
38 0.282909 9.353216 9.353216 9.365788 9.365788 2.905725 2.905725 8.903637 8.903637 
39 1.145537 14.180043 14.180043 13.360322 13.360322 11.535701 11.535701 6.739868 6.739868 
40 4.168856 37.174115 37.174115 36.664679 36.664679 25.675472 25.675472 26.173820 26.173820 
41 0.243323 6.663993 6.663993 5.943812 5.943812 3.887163 3.887163 4.496540 4.496540 
43 2.227748 17.381355 17.381355 18.866364 18.866364 13.808364 13.808364 12.855691 12.855691 
44 0.753051 8.000398 8.000398 8.235262 8.235262 7.285806 7.285806 3.838824 3.838824 
45 -0.051831 5.387270 5.387270 5.600123 5.600123 3.735352 3.735352 4.172352 4.172352 
46 -0.230186 4.860663 4.860663 4.824548 4.824548 2.391080 2.391080 4.190347 4.190347 
47 -0.466553 9.004897 9.004897 10.092582 10.092582 8.461217 8.461217 5.501639 5.501639 
