index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
0 -0.080860 6.522649 6.522649 6.965999 6.965999 3.353141 3.353141 6.105865 6.105865 
1 -9.564262 28.885996 28.885996 29.106213 29.106213 20.798258 20.798258 20.361830 20.361830 
2 -1.670952 27.174105 27.174105 27.340842 27.340842 16.900523 16.900523 21.491718 21.491718 
3 0.445161 4.959278 4.959278 4.832015 4.832015 2.211533 2.211533 4.296218 4.296218 
4 -22.443697 39.485924 39.485924 38.081335 38.081335 20.305471 20.305471 32.216082 32.216082 
5 -0.412915 11.906215 11.906215 12.964700 12.964700 8.430406 8.430406 9.849452 9.849452 
6 -3.007796 32.039462 32.039462 32.566133 32.566133 23.507280 23.507280 22.537985 22.537985 
7 0.256475 37.979445 37.979445 37.501436 37.501436 29.166472 29.166472 23.572751 23.572751 
8 -0.291475 34.511663 34.511663 34.051105 34.051105 24.691728 24.691728 23.447736 23.447736 
9 0.818470 11.534426 11.534426 9.890206 9.890206 8.164103 8.164103 5.582436 5.582436 
10 3.057481 33.240186 33.240186 33.885152 33.885152 20.546355 20.546355 26.945330 26.945330 
11 -0.367867 15.019179 15.019179 15.761543 15.761543 11.040605 11.040605 11.248613 11.248613 
12 1.877409 14.123186 14.123186 13.310239 13.310239 9.944215 9.944215 8.847319 8.847319 
13 -5.422856 29.794555 29.794555 30.175846 30.175846 16.903740 16.903740 24.996905 24.996905 
14 -1.141210 9.023669 9.023669 8.354847 8.354847 6.908128 6.908128 4.699068 4.699068 
15 0.085554 13.016869 13.016869 11.928782 11.928782 8.335753 8.335753 8.532939 8.532939 
16 2.247902 22.737168 22.737168 21.557997 21.557997 15.959240 15.959240 14.493098 14.493098 
17 -0.310206 12.273543 12.273543 11.985046 11.985046 7.490081 7.490081 9.356282 9.356282 
18 -0.622521 7.198434 7.198434 6.932968 6.932968 5.443941 5.443941 4.292965 4.292965 
19 1.693870 12.911593 12.911593 13.580968 13.580968 8.998285 8.998285 10.172194 10.172194 
20 0.084599 13.921435 13.921435 12.915225 12.915225 8.737446 8.737446 9.511051 9.511051 
21 0.331352 6.136156 6.136156 6.735021 6.735021 6.607599 6.607599 1.303892 1.303892 
22 -0.958719 19.478752 19.478752 19.957367 19.957367 12.996165 12.996165 15.145831 15.145831 
23 1.141828 24.661910 24.661910 24.960809 24.960809 18.224599 18.224599 17.055967 17.055967 
24 -0.096076 3.944102 3.944102 4.658550 4.658550 3.225883 3.225883 3.360917 3.360917 
25 0.275934 2.233102 2.233102 1.455154 1.455154 1.257469 1.257469 0.732286 0.732286 
26 -1.071679 9.795454 9.795454 7.918578 7.918578 4.809555 4.809555 6.290632 6.290632 
27 -0.692501 10.921364 10.921364 10.556087 10.556087 7.222517 7.222517 7.698456 7.698456 
28 0.488051 15.098329 15.098329 15.029857 15.029857 10.944217 10.944217 10.301491 10.301491 
29 0.696654 13.552221 13.552221 13.545145 13.545145 9.542330 9.542330 9.613267 9.613267 
30 -0.026886 6.030068 6.030068 4.497068 4.497068 3.904137 3.904137 2.231891 2.231891 
31 0.022179 12.913732 12.913732 12.395640 12.395640 7.092017 7.092017 10.166375 10.166375 
32 -0.028805 13.539851 13.539851 14.164307 14.164307 11.983121 11.983121 7.551980 7.551980 
33 0.988725 6.414211 6.414211 5.196808 5.196808 2.300831 2.300831 4.659719 4.659719 
34 -0.042849 9.289301 9.289301 9.445958 9.445958 6.421957 6.421957 6.927091 6.927091 
35 0.066961 5.991935 5.991935 7.904164 7.904164 5.846785 5.846785 5.318921 5.318921 
36 -0.544913 11.216249 11.216249 11.067545 11.067545 5.193081 5.193081 9.773560 9.773560 
37 0.820598 8.589856 8.589856 8.122620 8.122620 4.649355 4.649355 6.660364 6.660364 
38 0.430799 4.441451 4.441451 4.948813 4.948813 3.305369 3.305369 3.683107 3.683107 
39 -0.003956 4.325098 4.325098 4.244032 4.244032 1.316699 1.316699 4.034614 4.034614 
40 -0.362899 7.263811 7.263811 5.836818 5.836818 5.039683 5.039683 2.944493 2.944493 
41 -0.481317 15.650264 15.650264 16.450538 16.450538 11.519952 11.519952 11.743548 11.743548 
42 0.069509 4.049591 4.049591 2.652503 2.652503 1.734717 1.734717 2.006622 2.006622 
43 0.765242 11.859541 11.859541 12.107030 12.107030 10.141631 10.141631 6.612677 6.612677 
44 0.315255 7.459090 7.459090 8.478925 8.478925 6.205757 6.205757 5.777608 5.777608 
45 -0.421015 3.732853 3.732853 3.705764 3.705764 3.278519 3.278519 1.727425 1.727425 
46 -0.122192 4.956725 4.956725 2.492200 2.492200 1.662318 1.662318 1.856814 1.856814 
48 -0.090314 4.714532 4.714532 4.552854 4.552854 3.816940 3.816940 2.481824 2.481824 
49 0.010942 11.559534 11.559534 10.822924 10.822924 7.602070 7.602070 7.703520 7.703520 
50 0.346844 9.769662 9.769662 9.273862 9.273862 5.580630 5.580630 7.406826 7.406826 
51 0.248272 7.537724 7.537724 7.305316 7.305316 5.019082 5.019082 5.308150 5.308150 
52 0.633576 4.657238 4.657238 5.208365 5.208365 4.432171 4.432171 2.735493 2.735493 
53 -0.453859 27.230176 27.230176 26.153806 26.153806 17.182491 17.182491 19.717595 19.717595 
54 -0.745552 9.214315 9.214315 7.790671 7.790671 5.236903 5.236903 5.767964 5.767964 
55 -0.132469 3.618994 3.618994 1.821280 1.821280 1.023998 1.023998 1.506150 1.506150 
56 0.742049 14.891230 14.891230 13.908045 13.908045 10.853722 10.853722 8.696576 8.696576 
57 0.113198 4.328807 4.328807 3.343500 3.343500 2.525520 2.525520 2.191059 2.191059 
58 1.237087 12.720900 12.720900 14.090508 14.090508 6.982248 6.982248 12.238898 12.238898 
59 0.084779 4.499077 4.499077 3.599424 3.599424 2.449760 2.449760 2.637144 2.637144 
60 0.014847 5.660071 5.660071 3.599686 3.599686 0.795009 0.795009 3.510798 3.510798 
61 0.290062 2.049559 2.049559 4.691466 4.691466 2.641182 2.641182 3.877371 3.877371 
62 0.044506 2.919244 2.919244 1.605023 1.605023 0.781950 0.781950 1.401661 1.401661 
63 -0.076968 2.766989 2.766989 2.764705 2.764705 2.628588 2.628588 0.856808 0.856808 
64 -0.864530 7.954359 7.954359 9.300411 9.300411 5.682230 5.682230 7.362737 7.362737 
65 -0.507675 9.447506 9.447506 8.072960 8.072960 5.678792 5.678792 5.737945 5.737945 
66 0.070313 2.829012 2.829012 2.365959 2.365959 1.139419 1.139419 2.073520 2.073520 
67 0.315289 6.963767 6.963767 5.378975 5.378975 4.965491 4.965491 2.068155 2.068155 
68 -0.169191 8.153477 8.153477 7.673811 7.673811 4.206557 4.206557 6.418120 6.418120 
69 -0.254579 6.368135 6.368135 6.192101 6.192101 4.061455 4.061455 4.674045 4.674045 
70 0.058186 3.653569 3.653569 4.528611 4.528611 4.225337 4.225337 1.629370 1.629370 
71 0.461377 16.660434 16.660434 13.808617 13.808617 10.414325 10.414325 9.067511 9.067511 
72 -0.434944 6.552690 6.552690 7.195883 7.195883 5.902690 5.902690 4.115699 4.115699 
73 0.127096 4.653178 4.653178 5.205017 5.205017 3.685226 3.685226 3.675773 3.675773 
74 0.011378 2.311820 2.311820 1.521994 1.521994 0.458078 0.458078 1.451424 1.451424 
75 0.065541 4.747470 4.747470 3.897896 3.897896 3.102972 3.102972 2.359059 2.359059 
76 -1.509438 10.963707 10.963707 12.978575 12.978575 7.996681 7.996681 10.222353 10.222353 
77 0.180563 3.438545 3.438545 5.297764 5.297764 2.600760 2.600760 4.615447 4.615447 
78 -0.012773 8.351227 8.351227 8.725326 8.725326 7.481726 7.481726 4.489442 4.489442 
79 0.069976 12.114135 12.114135 12.417331 12.417331 8.194908 8.194908 9.329180 9.329180 
80 0.033528 4.405974 4.405974 4.002171 4.002171 3.497069 3.497069 1.946249 1.946249 
81 0.353310 8.050223 8.050223 7.300011 7.300011 4.874912 4.874912 5.433727 5.433727 
82 -0.103260 3.166761 3.166761 2.914833 2.914833 2.884812 2.884812 0.417271 0.417271 
83 0.080740 4.744061 4.744061 6.137033 6.137033 4.816178 4.816178 3.803631 3.803631 
84 0.060095 4.866450 4.866450 4.210678 4.210678 2.833950 2.833950 3.114247 3.114247 
85 0.668923 9.354374 9.354374 8.921998 8.921998 8.306029 8.306029 3.257595 3.257595 
86 -0.253681 3.136714 3.136714 3.245548 3.245548 0.680293 0.680293 3.173450 3.173450 
87 -0.299317 7.412294 7.412294 7.125967 7.125967 5.175422 5.175422 4.898409 4.898409 
88 0.105202 9.406785 9.406785 12.111326 12.111326 6.722717 6.722717 10.074190 10.074190 
89 0.038287 10.793498 10.793498 11.080279 11.080279 9.554958 9.554958 5.610291 5.610291 
90 2.872993 18.616296 18.616296 20.031463 20.031463 13.851075 13.851075 14.470909 14.470909 
91 0.483538 10.317567 10.317567 6.998907 6.998907 4.477676 4.477676 5.379137 5.379137 
92 0.560571 5.432451 5.432451 5.892794 5.892794 4.703549 4.703549 3.549879 3.549879 
93 -0.662172 9.598385 9.598385 10.569671 10.569671 9.265765 9.265765 5.085622 5.085622 
94 0.037633 3.049861 3.049861 3.557216 3.557216 3.152585 3.152585 1.647725 1.647725 
95 -0.587030 8.001043 8.001043 7.017089 7.017089 4.146319 4.146319 5.661057 5.661057 
96 0.079492 4.225438 4.225438 3.285501 3.285501 2.680580 2.680580 1.899739 1.899739 
97 0.068890 2.281256 2.281256 0.652683 0.652683 0.556868 0.556868 0.340431 0.340431 
98 -0.347559 4.937213 4.937213 5.410860 5.410860 3.683556 3.683556 3.963435 3.963435 
99 0.229157 9.295192 9.295192 8.744332 8.744332 6.883845 6.883845 5.392219 5.392219 
100 -0.243640 7.819860 7.819860 7.312049 7.312049 5.360028 5.360028 4.973545 4.973545 
101 -0.118745 10.338413 10.338413 11.967872 11.967872 10.140652 10.140652 6.355874 6.355874 
102 -0.964394 9.056321 9.056321 9.247096 9.247096 5.475205 5.475205 7.451907 7.451907 
103 -0.186350 11.417751 11.417751 9.585485 9.585485 7.085337 7.085337 6.455969 6.455969 
104 -0.216337 4.859495 4.859495 4.137890 4.137890 2.645102 2.645102 3.182070 3.182070 
105 0.198803 8.204960 8.204960 8.523284 8.523284 5.148112 5.148112 6.792887 6.792887 
106 -0.027327 3.661675 3.661675 2.990271 2.990271 2.321320 2.321320 1.884991 1.884991 
