index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
0 2.475295 6.187786 6.522286 6.965999 6.965999 3.353141 3.353141 6.105865 6.105865 
1 2.576032 28.532190 28.882544 29.106213 29.106213 20.798258 20.798258 20.361830 20.361830 
2 -2.399960 27.256794 27.174196 27.340842 27.340842 16.900523 16.900523 21.491718 21.491718 
3 1.676429 4.804477 4.962204 4.832015 4.832015 2.211533 2.211533 4.296218 4.296218 
4 -0.412545 39.026310 39.541306 38.081335 38.081335 20.305471 20.305471 32.216082 32.216082 
5 -1.051237 12.516060 11.914698 12.964700 12.964700 8.430406 8.430406 9.849452 9.849452 
6 -1.187226 32.541827 32.037994 32.566133 32.566133 23.507280 23.507280 22.537985 22.537985 
7 0.522592 37.945654 37.982202 37.501436 37.501436 29.166472 29.166472 23.572751 23.572751 
8 1.613364 34.309097 34.505052 34.051105 34.051105 24.691728 24.691728 23.447736 23.447736 
9 2.425948 10.676528 11.526736 9.890206 9.890206 8.164103 8.164103 5.582436 5.582436 
10 1.731353 34.340956 33.260336 33.885152 33.885152 20.546355 20.546355 26.945330 26.945330 
11 1.122878 15.976635 15.019416 15.761543 15.761543 11.040605 11.040605 11.248613 11.248613 
12 2.236825 13.872341 14.114259 13.310239 13.310239 9.944215 9.944215 8.847319 8.847319 
13 0.152814 29.116350 29.805542 30.175846 30.175846 16.903740 16.903740 24.996905 24.996905 
14 -2.356019 9.498749 9.020985 8.354847 8.354847 6.908128 6.908128 4.699068 4.699068 
15 2.550225 12.314200 13.031054 11.928782 11.928782 8.335753 8.335753 8.532939 8.532939 
16 0.161557 23.024723 22.725430 21.557997 21.557997 15.959240 15.959240 14.493098 14.493098 
17 0.517827 12.603898 12.277648 11.985046 11.985046 7.490081 7.490081 9.356282 9.356282 
18 -4.227790 7.430518 7.245622 6.932968 6.932968 5.443941 5.443941 4.292965 4.292965 
19 -0.500424 13.257143 12.909301 13.580968 13.580968 8.998285 8.998285 10.172194 10.172194 
20 -0.379809 14.524729 13.920732 12.915225 12.915225 8.737446 8.737446 9.511051 9.511051 
21 -2.284261 6.452038 6.141629 6.735021 6.735021 6.607599 6.607599 1.303892 1.303892 
22 -2.574364 19.923578 19.494356 19.957367 19.957367 12.996165 12.996165 15.145831 15.145831 
23 -1.018444 24.590961 24.663321 24.960809 24.960809 18.224599 18.224599 17.055967 17.055967 
24 1.275169 3.626892 3.949672 4.658550 4.658550 3.225883 3.225883 3.360917 3.360917 
25 0.403247 2.171592 2.235414 1.455154 1.455154 1.257469 1.257469 0.732286 0.732286 
26 -0.788995 10.121681 9.803387 7.918578 7.918578 4.809555 4.809555 6.290632 6.290632 
27 -2.381678 9.640178 10.892323 10.556087 10.556087 7.222517 7.222517 7.698456 7.698456 
28 0.560323 15.215918 15.098718 15.029857 15.029857 10.944217 10.944217 10.301491 10.301491 
29 1.912228 12.750084 13.562901 13.545145 13.545145 9.542330 9.542330 9.613267 9.613267 
30 14.928768 2.794175 6.053678 4.497068 4.497068 3.904137 3.904137 2.231891 2.231891 
31 1.725548 12.542566 12.920714 12.395640 12.395640 7.092017 7.092017 10.166375 10.166375 
32 -0.290857 13.588076 13.501519 14.164307 14.164307 11.983121 11.983121 7.551980 7.551980 
33 2.105676 6.292193 6.409726 5.196808 5.196808 2.300831 2.300831 4.659719 4.659719 
34 -0.695806 9.078712 9.286862 9.445958 9.445958 6.421957 6.421957 6.927091 6.927091 
35 1.912211 5.783676 6.019511 7.904164 7.904164 5.846785 5.846785 5.318921 5.318921 
36 -1.419260 11.222092 11.218827 11.067545 11.067545 5.193081 5.193081 9.773560 9.773560 
