index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
0 0.595860 16.134351 16.134351 15.510903 15.510903 7.466214 7.466214 13.595725 13.595725 
1 3.510490 65.516395 65.516395 65.995627 65.995627 47.158038 47.158038 46.168628 46.168628 
2 6.820448 60.521658 60.521658 61.808281 61.808281 38.206523 38.206523 48.585236 48.585236 
3 1.139626 10.558037 10.558037 10.997419 10.997419 5.033335 5.033335 9.777973 9.777973 
4 10.316993 85.457445 85.457445 87.265478 87.265478 46.531075 46.531075 73.824946 73.824946 
5 1.377965 27.671879 27.671879 28.757004 28.757004 18.699484 18.699484 21.847072 21.847072 
6 6.842639 74.431982 74.431982 73.266712 73.266712 52.886278 52.886278 50.705549 50.705549 
7 6.821495 76.942898 76.942898 76.194536 76.194536 55.251497 55.251497 52.467889 52.467889 
8 5.096527 43.565180 43.565180 42.956711 42.956711 34.589531 34.589531 25.472404 25.472404 
9 3.576106 106.192649 106.192649 107.280967 107.280967 67.015407 67.015407 83.774346 83.774346 
10 7.884245 74.793364 74.793364 75.454138 75.454138 45.751760 45.751760 60.000861 60.000861 
11 3.357032 35.819265 35.819265 35.739943 35.739943 25.035096 25.035096 25.506617 25.506617 
12 8.192738 68.269739 68.269739 68.226139 68.226139 38.218570 38.218570 56.516785 56.516785 
13 3.472449 20.622737 20.622737 19.015035 19.015035 15.722389 15.722389 10.694766 10.694766 
14 2.613896 29.183159 29.183159 27.338805 27.338805 19.104172 19.104172 19.556095 19.556095 
15 3.717322 48.091379 48.091379 47.817425 47.817425 35.398923 35.398923 32.146887 32.146887 
16 -0.378726 24.637507 24.637507 26.962706 26.962706 16.850476 16.850476 21.048728 21.048728 
17 4.027158 16.498108 16.498108 15.513301 15.513301 12.181461 12.181461 9.605963 9.605963 
18 4.008387 30.911325 30.911325 30.424253 30.424253 20.158072 20.158072 22.787876 22.787876 
19 2.757289 30.374746 30.374746 29.088054 29.088054 19.678756 19.678756 21.421052 21.421052 
20 0.051116 14.438807 14.438807 15.309829 15.309829 15.020177 15.020177 2.963973 2.963973 
21 5.931305 46.967415 46.967415 45.406553 45.406553 29.568532 29.568532 34.459497 34.459497 
22 4.097892 56.113204 56.113204 55.083452 55.083452 40.217985 40.217985 37.639081 37.639081 
23 1.149749 9.595324 9.595324 10.663547 10.663547 7.384152 7.384152 7.693213 7.693213 
24 1.572589 21.495760 21.495760 23.014123 23.014123 16.506519 16.506519 16.036979 16.036979 
25 4.501051 23.235851 23.235851 24.091765 24.091765 15.268634 15.268634 18.635502 18.635502 
26 2.846385 15.574238 15.574238 17.631793 17.631793 10.709134 10.709134 14.006948 14.006948 
