H_eff5 H_eff8 mass_1 mass_2 chirp_mass mass_ratio luminosity_distance dec ra psi phase theta_jn a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl geocent_time chi_1 chi_2
-0.12569961 -1.2083516 2.963846 2.280858 2.2595823 0.7695603 188.9923 -0.03888526 5.257181915184191 3.700813 2.232483 1.831354 0.1447422057390213 0.7245799899101257 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.1447422 -0.72458
0.483317 7.0534515 4.482543 1.886578 2.4860146 0.42087224 241.2493 0.04073184 1.1866380470996276 5.155243 5.484009 1.831394 0.6359506845474243 0.24121560156345367 0.0 3.141592653589793 0.0 0.0 0.0 0.6359507 -0.2412156
-0.009247111 0.46928957 4.698563 1.779872 2.4610379 0.37881196 99.34007 -0.1530414 6.192124216488736 3.811992 2.187344 1.015237 0.07143548130989075 0.7093570232391357 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.07143548 -0.709357
-0.014028601 0.17348632 3.144977 3.119846 2.7268965 0.99200916 176.5579 0.3160281 0.7661201833502176 1.14601 1.86616 1.130597 0.4102292060852051 0.36857619881629944 3.141592653589793 0.0 0.0 3.141592653589793 0.0 -0.4102292 0.3685762
0.36415488 5.102985 3.307808 2.65218 2.5753539 0.8017938 188.8681 -0.05557154 1.1719093036912867 4.644742 4.677267 1.377638 0.6698009967803955 0.5592901110649109 0.0 0.0 0.0 -0.0 0.0 0.669801 0.5592901
0.12487999 1.9170369 3.427036 3.358476 2.9533846 0.97999436 112.4938 -0.9535244 0.3838347965751794 3.014206 2.60882 2.754344 0.5453314185142517 0.0655554011464119 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.5453314 -0.0655554
0.312326 4.4892626 2.973879 2.209335 2.226543 0.74291354 92.56832 -0.2967319 1.7380628289351492 4.257832 2.963645 2.141209 0.727342426776886 0.3850162923336029 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.7273424 -0.3850163
-0.40835974 -4.3860593 3.617525 1.995574 2.3187137 0.5516407 177.7195 0.3474096 0.2378297739343651 5.058352 3.576162 2.029587 0.6719871759414673 0.2756248116493225 3.141592653589793 0.0 0.0 -0.0 0.0 -0.6719872 0.2756248
0.49221236 7.1759195 4.515235 1.894443 2.499942 0.41956687 234.398 -0.07273726 1.1328856773865894 0.3481412 3.784514 2.271324 0.6413841843605042 0.2746303975582123 0.0 3.141592653589793 0.0 -0.0 0.0 0.6413842 -0.2746304
-0.35851446 -3.5933044 4.971816 1.960267 2.6614938 0.39427584 187.1796 -0.8455465 0.10218476036986601 4.768049 2.712989 1.764944 0.5284420847892761 0.009786258451640606 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.5284421 -0.009786258
