lambda_1 lambda_2 mass_1 mass_2 chirp_mass mass_ratio luminosity_distance dec ra psi phase theta_jn a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl geocent_time chi_1 chi_2
8.638747 57.142586 2.271348 1.870096 1.7924958 0.8233419 245.2094 0.3826607 0.6000030713143545 2.729422 0.5480922 0.8642564 0.2250363975763321 0.458766907453537 3.141592653589793 0.0 0.0 0.0 0.0 -0.2250364 0.4587669
0.0 462.52902 3.812974 1.362211 1.9342818 0.35725683 197.0092 0.7948512 3.183239143032047 3.547798 4.472872 1.542159 0.40085750818252563 0.09251012653112411 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.4008575 -0.09251013
0.0 363.88138 2.84909 1.418433 1.7293139 0.4978547 187.8089 -0.4079169 3.151452600398848 3.983941 1.874611 2.674421 0.4128166139125824 0.743650496006012 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.4128166 -0.7436505
0.0 771.5874 2.483439 1.245937 1.5135701 0.50169826 236.7166 0.7273207 5.076430679265691 4.67959 0.247517 1.819121 0.7192723751068115 0.5415821075439453 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.7192724 -0.5415821
0.0 552.7061 3.530367 1.321141 1.8369024 0.374222 224.128 -0.1145192 4.1595604190037605 1.630417 3.862885 1.980814 0.3228437900543213 0.587435781955719 3.141592653589793 0.0 0.0 -0.0 0.0 -0.3228438 0.5874358
297.82916 381.7321 1.466096 1.40713 1.2503282 0.9597802 90.80137 0.2789867 0.8915852461318039 0.9555675 4.545344 1.634409 0.5896492004394531 0.18942730128765106 0.0 0.0 0.0 -0.0 0.0 0.5896492 0.1894273
0.0 555.7191 4.421683 1.319897 2.0317504 0.2985056 119.6902 -0.133849 1.8761256692918735 1.647782 1.782162 2.253428 0.09448119252920151 0.04190574958920479 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.09448119 -0.04190575
0.0 37.761406 2.55884 1.969018 1.9507298 0.7694963 207.5877 0.535733 4.132419138633345 2.416107 1.550777 1.414138 0.15081849694252014 0.5558258295059204 0.0 0.0 0.0 0.0 0.0 0.1508185 0.5558258
220.52635 1135.4429 1.538624 1.161929 1.1617073 0.7551741 218.3104 0.01286125 1.129349442533723 2.961264 1.162349 1.652181 0.17372509837150574 0.6649804711341858 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.1737251 -0.6649805
6.0610275 93.785736 2.323351 1.748774 1.7512369 0.7526948 249.35 -0.8762096 5.97359396467386 1.850795 1.109786 1.20004 0.5270078182220459 0.5137190818786621 0.0 0.0 0.0 0.0 0.0 0.5270078 0.5137191
0.0 25.240574 2.614866 2.061196 2.0182045 0.7882607 240.431 -0.542704 0.5754600133515595 2.132859 4.776376 0.7023046 0.2685225009918213 0.21374990046024323 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.2685225 -0.2137499
