lambda_1 lambda_2 mass_1 mass_2 chirp_mass mass_ratio luminosity_distance dec ra psi phase theta_jn a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl geocent_time
0.0 0.0 4.19273 3.303826 3.2354605 0.78798926 117.3727 0.7436306 1.6583182369608451 3.485677 1.699313 0.6940988 0.11340010166168213 0.4621985852718353 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.85317 4.478703 4.058008 0.9228408 118.5834 0.5822855 5.921527982273545 0.6352183 2.708348 1.605204 0.4873634874820709 0.5123475193977356 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.285855 3.644291 3.4382234 0.8503067 188.4083 0.00164187 1.479580095455681 3.672152 0.3349948 1.85496 0.7218645215034485 0.25874510407447815 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 3.964827 3.513263 3.2479014 0.8861075 243.4033 0.8826835 4.5145224423571975 3.406777 3.752862 0.8689131 0.47859489917755127 0.40968748927116394 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.961967 3.88585 3.8169527 0.78312695 230.3086 -1.032683 4.085038606800886 3.909819 1.54353 2.444872 0.3558005094528198 0.5998870730400085 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.052248 3.705736 3.3728151 0.9144889 230.6245 -0.5591339 0.17217513742814106 0.2236355 1.137375 2.398368 0.633843719959259 0.12548929452896118 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.545301 3.926908 3.6759424 0.86394894 149.905 0.1598622 4.001592980955543 0.2882819 1.618821 2.230417 0.5430585145950317 0.43409648537635803 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.908265 4.574142 4.1243825 0.9319264 181.0957 -0.7159051 1.7240278484388654 1.073458 4.605783 1.641492 0.45856231451034546 0.4630812108516693 3.141592653589793 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.773469 3.643039 3.623701 0.7631848 187.0345 -1.18029 4.449228820212234 5.266244 5.791844 2.281075 0.06250456720590591 0.40053460001945496 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.817769 3.083488 3.3388257 0.640024 138.5219 -0.02547885 3.638000664835495 2.710783 4.507549 1.588297 0.23226860165596008 0.5142732858657837 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.160216 3.89205 3.5026197 0.9355404 182.6214 0.07871397 1.1497444566195298 3.784508 2.340946 0.9976995 0.16371209919452667 0.03973466902971268 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.466022 3.13623 3.2479463 0.7022424 135.7548 -0.9485228 1.0049512696424898 5.499253 3.672404 1.362793 0.2818160951137543 0.6755111217498779 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.0012 3.674618 3.3374639 0.91837895 144.8011 0.2024777 3.755640273826586 5.584727 2.859581 0.5374093 0.5072340965270996 0.08244834095239639 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.398268 3.449101 3.3856945 0.78419524 246.2514 -0.1978176 2.2325308350556696 2.826034 1.849444 1.371588 0.1714920997619629 0.28171101212501526 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.841584 4.501779 4.063707 0.9298153 185.5609 -0.4954704 4.186636536003945 5.862212 6.19452 2.839684 0.0022581329103559256 0.12206509709358215 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 3.98301 3.814215 3.392985 0.9576212 135.2023 -0.9367692 2.0189123442543604 4.255841 0.8281917 0.8702999 0.5360153913497925 0.6463459730148315 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.35309 3.482076 3.3851032 0.79990906 169.2202 -0.6911659 2.9587302076253508 2.568865 0.104829 1.350192 0.3343510031700134 0.5610712170600891 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.439938 4.204363 3.7609742 0.9469418 162.5426 0.2400029 4.234273588023072 4.697592 2.476537 1.60315 0.2846406102180481 0.592962384223938 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.068898 3.552836 3.3084185 0.87316906 196.7553 1.494609 0.7878755951577645 0.9010064 3.941669 1.734837 0.32016828656196594 0.7464486956596375 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.916901 2.79432 3.2015183 0.5683092 245.8922 -0.6859515 0.45885680280198216 1.791078 0.2123333 0.3241868 0.0712643414735794 0.6508687138557434 0.0 3.141592653589793 0.0 0.0 0.0
